Период,Алг.,Биол.,Геогр.,Геом.,ГД,Англ.яз,Инф.,Ист.,Лит-ра,Обществ.,ОБЖ,Рус.яз.,Смысл. чтен.,Физика,Физ-ра,Химия,Техно
2 Четверть,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0
3 Четверть,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
4 Четверть,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0
Год. оценка,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
1 Четверть,3.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
2 Четверть,3.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
3 Четверть,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0
4 Четверть,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0
Год. оценка,3.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
1 Четверть,3.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0
2 Четверть,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0
3 Четверть,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
4 Четверть,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0
Год. оценка,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
1 Четверть,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
2 Четверть,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0
3 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0
4 Четверть,3.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
Год. оценка,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
1 Четверть,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0
2 Четверть,3.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0
4 Четверть,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0
Год. оценка,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0
1 Четверть,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
2 Четверть,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0
3 Четверть,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
4 Четверть,3.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0
Год. оценка,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
1 Четверть,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0
2 Четверть,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0
3 Четверть,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0
4 Четверть,3.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0
Год. оценка,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
1 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0
2 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
4 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
Год. оценка,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
1 Четверть,4.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
2 Четверть,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
3 Четверть,3.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0
4 Четверть,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
Год. оценка,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
1 Четверть,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0
2 Четверть,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
3 Четверть,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0
4 Четверть,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0
Год. оценка,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
1 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0
2 Четверть,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0
3 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0
4 Четверть,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0
Год. оценка,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0
1 Четверть,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0
2 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0
3 Четверть,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0
4 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0
Год. оценка,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
1 Четверть,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0
2 Четверть,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0
3 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
4 Четверть,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
Год. оценка,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
1 Четверть,3.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
2 Четверть,3.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
3 Четверть,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0
4 Четверть,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0
Год. оценка,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0
1 Четверть,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
2 Четверть,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0
3 Четверть,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0
4 Четверть,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
Год. оценка,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
1 Четверть,4.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
2 Четверть,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0
3 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0
4 Четверть,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
Год. оценка,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0
1 Четверть,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
2 Четверть,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0
3 Четверть,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0
4 Четверть,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0
Год. оценка,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
1 Четверть,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0
2 Четверть,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0
3 Четверть,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
4 Четверть,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
Год. оценка,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1 Четверть,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0
2 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,0.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0
1 Четверть,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
2 Четверть,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0
1 Четверть,2.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0
2 Четверть,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
3 Четверть,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
1 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
2 Четверть,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
3 Четверть,3.0,4.0,4.0,2.0,3.0,0.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0
1 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0
2 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0
3 Четверть,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0
1 Четверть,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0
2 Четверть,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0
3 Четверть,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0
1 Четверть,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0
2 Четверть,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0
3 Четверть,4.0,4.0,4.0,3.0,3.0,0.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0
1 Четверть,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0
2 Четверть,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0
3 Четверть,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0
1 Четверть,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
2 Четверть,3.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0
3 Четверть,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0
1 Четверть,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
2 Четверть,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
3 Четверть,4.0,4.0,5.0,4.0,4.0,0.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0
1 Четверть,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0
2 Четверть,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
3 Четверть,3.0,3.0,3.0,3.0,2.0,0.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0
1 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0
2 Четверть,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0
1 Четверть,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
2 Четверть,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,0.0,3.0,5.0,3.0,4.0,3.0,4.0
1 Четверть,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0
2 Четверть,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0
1 Четверть,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0
2 Четверть,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
3 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
1 Четверть,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0
2 Четверть,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
3 Четверть,3.0,4.0,5.0,3.0,4.0,0.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0
1 Четверть,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0
2 Четверть,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0
3 Четверть,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0
1 Четверть,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0
2 Четверть,3.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0
