Ученик,Средний балл за Сентябрь,Средний балл за Октябрь,Средний балл за Ноябрь,Средний балл за Декабрь,Средний балл за Январь,Средний балл за Февраль,Средний балл за Март,Средний балл за Апрель,Средний балл за Май,Средний балл за 3 месяца (Сентябрь-Октябрь-Ноябрь),Средний балл за 3 месяца (Декабрь-Январь-Февраль),Средний балл за 3 месяца (Март-Апрель-Май),Общее кол-во 5 за год,Общее кол-во 4 за год,Общее кол-во 3 за год,Общее кол-во 2 за год,Общее кол-во У за год,Общее кол-во Б за год,Общее кол-во Н за год,Общее кол-во 5 за 1 полугодие,Общее кол-во 4 за 1 полугодие,Общее кол-во 3 за 1 полугодие,Общее кол-во 2 за 1 полугодие,Общее кол-во У за 1 полугодие,Общее кол-во Б за 1 полугодие,Общее кол-во Н за 1 полугодие,Общее кол-во 5 за 2 полугодие,Общее кол-во 4 за 2 полугодие,Общее кол-во 3 за 2 полугодие,Общее кол-во 2 за 2 полугодие,Общее кол-во У за 2 полугодие,Общее кол-во Б за 2 полугодие,Общее кол-во Н за 2 полугодие,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный (нет предмета со ср. баллом < 3.5)
Ученик 1_8A,3.807017543859649,3.6,3.8529411764705883,3.6666666666666665,3.902439024390244,3.8392857142857144,3.8,3.83,3.86,3.7533195734434126,3.802797135114208,3.83,94,109,129,18,19,183,23,46,54,68,11,19,57,2,48,55,61,7,0,126,21,2.111111111111111,20.333333333333332,2.5555555555555554,0
Ученик 2_8A,3.382978723404255,3.212121212121212,3.4838709677419355,3.316666666666667,3.342857142857143,3.3,3.15,3.261904761904762,3.3048780487804876,3.3596569677558006,3.3198412698412696,3.23892760356175,38,59,201,36,44,124,26,15,29,86,10,33,60,1,23,30,115,26,11,64,25,4.888888888888889,13.777777777777779,2.888888888888889,0
Ученик выбывший_8A,3.3421052631578947,3.3780487804878048,3.289473684210526,3.370967741935484,3.2941176470588234,3.53125,3.7115384615384617,3.3870967741935485,3.0,3.336542575952075,3.398778462998102,3.3662117452440032,35,61,104,37,303,62,25,18,29,57,22,66,27,0,17,32,47,15,237,35,25,37.875,7.75,3.125,0
Ученик 3_8A,2.9655172413793105,2.9722222222222223,3.0853658536585367,3.1666666666666665,3.15,3.048076923076923,3.08974358974359,3.108695652173913,3.317073170731707,3.0077017724200235,3.1215811965811966,3.17183747088307,37,50,238,90,26,58,9,15,18,106,42,19,58,1,22,32,132,48,7,0,8,3.25,7.25,1.125,0
Ученица 4_8A,3.8425925925925926,3.7027027027027026,3.6463414634146343,3.576923076923077,3.566666666666667,3.518181818181818,3.75,3.525,4.015151515151516,3.730545586236643,3.553923853923854,3.7633838383838385,91,100,149,32,92,27,8,44,46,64,14,53,27,0,47,54,85,18,39,0,8,11.5,3.375,1.0,0
Ученик 5_8A,3.2982456140350878,3.076923076923077,3.160377358490566,3.35,3.2222222222222223,3.1636363636363636,3.1041666666666665,3.2388059701492535,3.4,3.178515349816244,3.2452861952861958,3.247657545605307,38,69,210,62,92,65,12,15,38,95,29,64,19,0,23,31,115,33,28,46,12,11.5,8.125,1.5,0
Ученица 6_8A,4.068965517241379,4.093023255813954,4.088235294117647,4.056818181818182,4.076923076923077,3.8454545454545452,3.926470588235294,3.9130434782608696,3.9342105263157894,4.083408022390993,3.993065268065268,3.924574864270651,138,144,96,21,18,28,4,77,64,40,11,0,28,0,61,80,56,10,18,0,4,3.6,5.6,0.8,0
Ученик 7_8A,3.3548387096774195,3.1707317073170733,3.56,3.5483870967741935,3.5121951219512195,3.486111111111111,3.103448275862069,3.5625,3.5694444444444446,3.361856805664831,3.515564443278841,3.411797573435505,58,81,181,41,47,73,12,29,38,93,22,33,0,1,29,43,88,19,14,73,11,5.875,9.125,1.5,0
Ученица 8_8A,3.8181818181818183,3.686046511627907,3.75,3.642857142857143,3.65,3.310810810810811,3.4464285714285716,3.6,3.533333333333333,3.7514094432699086,3.5345559845559844,3.526587301587302,59,87,117,28,134,130,62,37,37,53,11,64,41,19,22,50,64,17,70,89,43,14.88888888888889,14.444444444444445,6.888888888888889,0
Ученик 9_8A,3.8620689655172415,3.701923076923077,3.9745762711864407,3.914285714285714,3.731707317073171,3.7545454545454544,3.65625,4.078125,4.305555555555555,3.8461894378755868,3.8001794953014465,4.013310185185185,147,123,118,37,78,0,2,66,59,60,15,40,0,0,81,64,58,22,38,0,2,11.142857142857142,0.0,0.2857142857142857,0
